experiment,psnr,ssim,lpips,time(s)
family_pos0_00016_fea0_0025_opa0_1_iter30000with_deep,25.6399765,0.8768146, 0.1723872,1184
family_pos0_00016_fea0_0025_opa0_1_iter30000dece,25.4967651,0.8755999,0.1755555,1398
family_pos0_00032_fea0_0025_opa0_1_iter30000dece,25.4113541,0.8767260,0.1717791,1400
family_pos0_00032_fea0_005_opa0_1_iter30000dece,25.3475018,0.8765233,0.1692249,1407
family_pos0_00016_fea0_005_opa0_1_iter30000dece,25.2679806,0.8741369,0.1750503,1444
family_pos0_00016_fea0_005_opa0_05_iter30000dece,25.2023983,0.8810337,0.1603494,1625
family_pos0_00032_fea0_005_opa0_05_iter30000dece,25.1909447,0.8818654,0.1551075,1606
family_pos0_00016_fea0_0025_opa0_05_iter30000dece,25.1749668,0.8818563,0.1597283,1622
family_pos0_00032_fea0_0025_opa0_05_iter30000dece,25.1628742,0.8822382,0.1550752,1565
family_pos0_00032_fea0_005_opa0_05_iter15000dece,24.8366890,0.8773702,0.1718205,943
family_pos0_00016_fea0_005_opa0_05_iter15000dece,24.6865425,0.8753560,0.1761390,954
family_pos0_00032_fea0_0025_opa0_05_iter15000dece,24.6605396,0.8766647,0.1732381,929
family_pos0_00016_fea0_0025_opa0_05_iter15000dece,24.5487499,0.8743505,0.1787355,936
family_pos0_00032_fea0_005_opa0_1_iter15000dece,24.5100060,0.8685482,0.1920627,823
family_pos0_00016_fea0_0025_opa0_1_iter15000dece,24.4941769,0.8672863,0.1978832,791
family_pos0_00032_fea0_0025_opa0_1_iter15000dece,24.4881706,0.8682647,0.1922292,809
family_pos0_00016_fea0_005_opa0_1_iter15000dece,24.2782612,0.8656792,0.1966295,836

